,Prompt,combined,Skor Label
13,saya mencari guru sejarah yang mengajar dengan cara bercerita dan mendorong murid untuk bertanya di dki jakarta terutama jakarta pusat,jenis kelamin : laki-laki provinsi : dki jakarta kabupaten/kota : jakarta pusat interest : sejarah bahasa : indonesia kriteria : saya adalah guru sejarah . saya mengajar dengan cara bercerita agar murid mau bertanya-tanya mengapa sejarah bisa terjadi . tujuan akhir dari sistem pengajaran saya adalah dapat dipetiknya suatu ilmu dari sejarah tersebut untuk mengembangkan masa depan,4.0
14,saya butuh pengajar yang bisa membantu saya dengan konsep-konsep menjadi data analyst,jenis kelamin : laki-laki provinsi : daerah istimewa yogyakarta kabupaten/kota : sleman interest : data analyst bahasa : indonesia kriteria : sudah berpengalaman lebih dari 6 tahun di bidang data dan dibeberapa industri,5.0
15,saya mencari tutor yang menggunakan alat peraga dalam mengajar fisika di daerah jakarta pusat,jenis kelamin : perempuan provinsi : jawa barat kabupaten/kota : kabupaten bekasi interest : fisika bahasa : indonesia kriteria : saya punya pengalaman dalam mengajar fisika dan saya biasa menggunakan alat peraga untuk mempraktekkan konsep fisika sehingga pembelajaran menjadi lebih interaktif dan menyenangkan siswa .,5.0
16,saya mencari tutor matematika yang berpengalaman di jakarta,jenis kelamin : laki-laki provinsi : dki jakarta kabupaten/kota : jakarta selatan interest : matematika bahasa : indonesia kriteria : mengajar matematika untuk sma dengan pengalaman 5 tahun . menggunakan metode kreatif dan interaktif .,5.0
17,saya butuh mentor untuk belajar pemrograman di bandung,"jenis kelamin : perempuan provinsi : jawa barat kabupaten/kota : bandung interest : pemrograman bahasa : indonesia kriteria : menguasai python dan java , dengan pengalaman 3 tahun sebagai software engineer di perusahaan teknologi besar .",5.0
18,saya ingin belajar bahasa inggris dengan tutor di surabaya,"jenis kelamin : laki-laki provinsi : jawa timur kabupaten/kota : surabaya interest : bahasa inggris bahasa : inggris kriteria : berpengalaman mengajar bahasa inggris selama 4 tahun , dengan fokus pada komunikasi bisnis .",5.0
19,saya butuh mentor yang sabar untuk belajar data science di yogyakarta karena saya baru belajar,"jenis kelamin : laki-laki provinsi : daerah istimewa yogyakarta kabupaten/kota : yogyakarta interest : data science bahasa : indonesia kriteria : mempunyai pengalaman 6 tahun di bidang data science dan machine learning , sering memberikan workshop dan seminar .",3.0
20,saya mencari tutor fisika untuk smp di semarang yang tegas dan sabar,jenis kelamin : perempuan provinsi : jawa tengah kabupaten/kota : semarang interest : fisika bahasa : indonesia kriteria : mengajar fisika untuk tingkat smp dengan metode yang mudah dipahami dan interaktif selama 3 tahun .,4.0
21,saya butuh tutor matematika yang bisa mengajar di jakarta,jenis kelamin : laki-laki provinsi : jakarta kabupaten/kota : jakarta barat interest : matematika bahasa : indonesia kriteria : berpengalaman mengajar matematika untuk anak sd dengan cara yang menyenangkan dan mudah dipahami .,5.0
22,saya ingin belajar coding dari mentor di surabaya,"jenis kelamin : perempuan provinsi : jawa timur kabupaten/kota : malang interest : pemrograman bahasa : indonesia kriteria : menguasai html , css , dan javascript , serta berpengalaman mengajar coding selama 2 tahun .",4.0
23,saya mencari tutor bahasa inggris untuk bisnis di jakarta,jenis kelamin : perempuan provinsi : dki jakarta kabupaten/kota : jakarta pusat interest : bahasa inggris bahasa : inggris kriteria : berpengalaman 5 tahun mengajar bahasa inggris untuk komunikasi bisnis .,4.0
24,saya butuh mentor untuk karir di bidang data analysis di bekasi,jenis kelamin : laki-laki provinsi : jawa barat kabupaten/kota : bekasi interest : data analysis bahasa : indonesia kriteria : berpengalaman 7 tahun di bidang data analysis dengan berbagai industri .,4.0
25,saya mencari tutor fisika untuk anak smp di medan,jenis kelamin : perempuan provinsi : sumatera utara kabupaten/kota : medan interest : fisika bahasa : indonesia kriteria : mengajar fisika untuk smp dengan menggunakan alat peraga dan metode praktis selama 4 tahun .,3.0
26,saya mencari tutor matematika yang berpengalaman di jakarta,jenis kelamin : laki-laki provinsi : dki jakarta kabupaten/kota : jakarta selatan interest : matematika bahasa : indonesia kriteria : mengajar matematika untuk sma dengan pengalaman 5 tahun . menggunakan metode kreatif dan interaktif .,3.0
27,butuh mentor untuk belajar pemrograman di bandung,"jenis kelamin : perempuan provinsi : jawa barat kabupaten/kota : bandung interest : pemrograman bahasa : indonesia kriteria : menguasai python dan java , dengan pengalaman 3 tahun sebagai software engineer di perusahaan teknologi besar .",3.0
28,ingin belajar bahasa inggris dengan tutor di surabaya,"jenis kelamin : laki-laki provinsi : jawa timur kabupaten/kota : surabaya interest : bahasa inggris bahasa : inggris kriteria : berpengalaman mengajar bahasa inggris selama 4 tahun , dengan fokus pada komunikasi bisnis .",3.0
29,mencari mentor untuk belajar data science di yogyakarta,"jenis kelamin : laki-laki provinsi : daerah istimewa yogyakarta kabupaten/kota : yogyakarta interest : data science bahasa : indonesia kriteria : mempunyai pengalaman 6 tahun di bidang data science dan machine learning , sering memberikan workshop dan seminar .",4.0
30,tutor fisika untuk smp di semarang,jenis kelamin : perempuan provinsi : jawa tengah kabupaten/kota : semarang interest : fisika bahasa : indonesia kriteria : mengajar fisika untuk tingkat smp dengan metode yang mudah dipahami dan interaktif selama 3 tahun .,4.0
31,cari tutor matematika yang bisa mengajar di jakarta,jenis kelamin : laki-laki provinsi : jakarta kabupaten/kota : jakarta barat interest : matematika bahasa : indonesia kriteria : berpengalaman mengajar matematika untuk anak sd dengan cara yang menyenangkan dan mudah dipahami .,3.0
32,perlu mentor untuk belajar coding di surabaya,"jenis kelamin : perempuan provinsi : jawa timur kabupaten/kota : malang interest : pemrograman bahasa : indonesia kriteria : menguasai html , css , dan javascript , serta berpengalaman mengajar coding selama 2 tahun .",3.0
33,butuh tutor bahasa inggris untuk bisnis di jakarta,jenis kelamin : perempuan provinsi : dki jakarta kabupaten/kota : jakarta pusat interest : bahasa inggris bahasa : inggris kriteria : berpengalaman 5 tahun mengajar bahasa inggris untuk komunikasi bisnis .,4.0
34,mentor untuk karir di bidang data analysis di bekasi,jenis kelamin : laki-laki provinsi : jawa barat kabupaten/kota : bekasi interest : data analysis bahasa : indonesia kriteria : berpengalaman 7 tahun di bidang data analysis dengan berbagai industri .,4.0
35,tutor fisika untuk anak smp di medan,jenis kelamin : perempuan provinsi : sumatera utara kabupaten/kota : medan interest : fisika bahasa : indonesia kriteria : mengajar fisika untuk smp dengan menggunakan alat peraga dan metode praktis selama 4 tahun .,4.0
36,tutor kimia yang berpengalaman di yogyakarta,jenis kelamin : laki-laki provinsi : daerah istimewa yogyakarta kabupaten/kota : yogyakarta interest : kimia bahasa : indonesia kriteria : mengajar kimia untuk sma dengan pengalaman 6 tahun . menggunakan metode laboratorium dan praktikum .,4.0
37,cari tutor sejarah di bandung,jenis kelamin : perempuan provinsi : jawa barat kabupaten/kota : bandung interest : sejarah bahasa : indonesia kriteria : berpengalaman mengajar sejarah selama 4 tahun dengan pendekatan storytelling untuk membuat sejarah lebih menarik .,3.0
38,ingin belajar ekonomi dari mentor di surabaya,jenis kelamin : laki-laki provinsi : jawa timur kabupaten/kota : surabaya interest : ekonomi bahasa : indonesia kriteria : mengajar ekonomi untuk mahasiswa dengan pengalaman 5 tahun dan sering menjadi pembicara seminar ekonomi .,4.0
39,tutor geografi yang berpengalaman di medan,"jenis kelamin : perempuan provinsi : sumatera utara kabupaten/kota : medan interest : geografi bahasa : indonesia kriteria : mengajar geografi dengan pengalaman 3 tahun , menggunakan peta dan alat bantu visual untuk pembelajaran .",3.0
40,mentor untuk belajar desain grafis di bali,"jenis kelamin : laki-laki provinsi : bali kabupaten/kota : denpasar interest : desain grafis bahasa : indonesia kriteria : berpengalaman sebagai desainer grafis selama 5 tahun , menguasai adobe photoshop dan illustrator .",3.0
41,tutor fisika yang bisa mengajar di bandung,jenis kelamin : perempuan provinsi : jawa barat kabupaten/kota : bandung interest : fisika bahasa : indonesia kriteria : berpengalaman mengajar fisika untuk smp dengan cara interaktif selama 3 tahun .,4.0
42,ingin belajar fotografi dari mentor di jakarta,"jenis kelamin : laki-laki provinsi : dki jakarta kabupaten/kota : jakarta utara interest : fotografi bahasa : indonesia kriteria : mengajar fotografi untuk pemula dengan pengalaman 5 tahun , sering mengadakan workshop dan pameran .",4.0
43,butuh tutor bahasa jepang di yogyakarta,"jenis kelamin : perempuan provinsi : daerah istimewa yogyakarta kabupaten/kota : sleman interest : bahasa jepang bahasa : indonesia kriteria : menguasai bahasa jepang dengan pengalaman mengajar 4 tahun , menggunakan metode interaktif dan praktis .",3.0
44,tutor biologi yang berpengalaman di makassar,"jenis kelamin : laki-laki provinsi : sulawesi selatan kabupaten/kota : makassar interest : biologi bahasa : indonesia kriteria : mengajar biologi untuk sma selama 5 tahun , menggunakan metode laboratorium dan eksperimen praktis .",4.0
45,ingin belajar ilmu komputer dari tutor di bandung,"jenis kelamin : laki-laki provinsi : jawa barat kabupaten/kota : bandung interest : ilmu komputer bahasa : indonesia kriteria : berpengalaman mengajar ilmu komputer selama 4 tahun , fokus pada algoritma dan struktur data .",3.0
46,butuh mentor untuk belajar public speaking di jakarta,"jenis kelamin : perempuan provinsi : jakarta kabupaten/kota : jakarta timur interest : public speaking bahasa : indonesia kriteria : berpengalaman sebagai public speaker selama 6 tahun , sering menjadi pembicara di seminar nasional .",3.0
47,saya membutuhkan tutor untuk belajar musik klasik di surabaya,jenis kelamin : laki-laki provinsi : jawa timur kabupaten/kota : surabaya interest : fisika bahasa : indonesia kriteria : mengajar fisika untuk sma dengan pengalaman 5 tahun . menggunakan metode kreatif dan interaktif .,3.0
48,mencari mentor untuk belajar digital marketing di jakarta,jenis kelamin : perempuan provinsi : dki jakarta kabupaten/kota : jakarta pusat interest : kimia bahasa : indonesia kriteria : berpengalaman mengajar kimia untuk siswa sma selama 4 tahun dengan pendekatan praktikum .,3.0
49,ingin belajar bahasa prancis dengan tutor di bandung,jenis kelamin : laki-laki provinsi : jawa barat kabupaten/kota : bandung interest : matematika bahasa : indonesia kriteria : mengajar matematika untuk smp dengan metode interaktif selama 3 tahun .,3.0
50,butuh mentor untuk pengembangan aplikasi mobile di bali,jenis kelamin : laki-laki provinsi : bali kabupaten/kota : denpasar interest : bahasa inggris bahasa : inggris kriteria : berpengalaman mengajar bahasa inggris selama 4 tahun dengan fokus pada percakapan sehari-hari .,2.0
51,mencari tutor untuk belajar sejarah dunia di semarang,"jenis kelamin : perempuan provinsi : jawa tengah kabupaten/kota : semarang interest : pemrograman bahasa : indonesia kriteria : menguasai bahasa pemrograman java dan python , serta berpengalaman mengajar selama 2 tahun .",3.0
52,cari mentor untuk pengembangan soft skill di yogyakarta,jenis kelamin : laki-laki provinsi : daerah istimewa yogyakarta kabupaten/kota : yogyakarta interest : biologi bahasa : indonesia kriteria : mengajar biologi untuk sma dengan pengalaman 6 tahun dan sering mengadakan praktikum lapangan .,2.0
53,ingin belajar seni tari tradisional dengan tutor di medan,jenis kelamin : perempuan provinsi : sumatera utara kabupaten/kota : medan interest : ekonomi bahasa : indonesia kriteria : mengajar ekonomi untuk mahasiswa dengan pengalaman 5 tahun dan menggunakan studi kasus nyata .,3.0
54,mencari tutor untuk belajar astronomi di makassar,jenis kelamin : laki-laki provinsi : sulawesi selatan kabupaten/kota : makassar interest : geografi bahasa : indonesia kriteria : berpengalaman mengajar geografi selama 4 tahun dengan pendekatan visual dan peta interaktif .,3.0
55,butuh mentor untuk pengembangan bisnis startup di bandung,jenis kelamin : perempuan provinsi : jawa barat kabupaten/kota : bandung interest : sejarah bahasa : indonesia kriteria : berpengalaman mengajar sejarah dunia selama 5 tahun dengan pendekatan analitis dan kronologis .,2.0
56,ingin belajar desain interior dengan tutor di jakarta,jenis kelamin : laki-laki provinsi : dki jakarta kabupaten/kota : jakarta selatan interest : bahasa jepang bahasa : indonesia kriteria : menguasai bahasa jepang dan berpengalaman mengajar selama 3 tahun dengan metode interaktif .,3.0
57,saya mencari tutor matematika untuk persiapan ujian di jakarta yang sabar dan telaten,"jenis kelamin : perempuan provinsi : dki jakarta kabupaten/kota : jakarta selatan interest : matematika bahasa : indonesia kriteria : mengajar matematika dengan sabar dan telaten , berpengalaman mengajar siswa sma selama 3 tahun .",4.0
58,butuh mentor untuk belajar pemrograman python di bandung dengan pendekatan praktis,"jenis kelamin : laki-laki provinsi : jawa barat kabupaten/kota : bandung interest : pemrograman bahasa : indonesia kriteria : berpengalaman mengajar pemrograman python selama 5 tahun , fokus pada pendekatan praktis .",4.0
59,ingin belajar bahasa inggris dengan tutor yang bisa mengajar dengan metode interaktif di yogyakarta,"jenis kelamin : perempuan provinsi : daerah istimewa yogyakarta kabupaten/kota : yogyakarta interest : bahasa inggris bahasa : inggris kriteria : mengajar bahasa inggris dengan metode interaktif , berpengalaman selama 4 tahun .",4.0
60,mencari tutor untuk belajar seni lukis di surabaya yang kreatif dan inspiratif,"jenis kelamin : perempuan provinsi : jawa timur kabupaten/kota : surabaya interest : seni lukis bahasa : indonesia kriteria : mengajar seni lukis dengan pendekatan kreatif dan inspiratif , berpengalaman selama 6 tahun .",4.0
61,butuh mentor untuk belajar bisnis digital di medan dengan pendekatan studi kasus,"jenis kelamin : laki-laki provinsi : sumatera utara kabupaten/kota : medan interest : bisnis digital bahasa : indonesia kriteria : mengajar bisnis digital dengan pendekatan studi kasus , berpengalaman selama 7 tahun .",4.0
62,saya mencari tutor musik klasik di jakarta yang berpengalaman,jenis kelamin : laki-laki provinsi : dki jakarta kabupaten/kota : jakarta pusat interest : fisika bahasa : indonesia kriteria : mengajar fisika untuk sma dengan pengalaman 5 tahun . menggunakan metode kreatif dan interaktif .,3.0
63,mencari mentor untuk belajar digital marketing di jakarta,jenis kelamin : perempuan provinsi : dki jakarta kabupaten/kota : jakarta pusat interest : kimia bahasa : indonesia kriteria : berpengalaman mengajar kimia untuk siswa sma selama 4 tahun dengan pendekatan praktikum .,3.0
64,ingin belajar bahasa prancis dengan tutor di bandung,jenis kelamin : laki-laki provinsi : jawa barat kabupaten/kota : bandung interest : matematika bahasa : indonesia kriteria : mengajar matematika untuk smp dengan metode interaktif selama 3 tahun .,3.0
65,butuh mentor untuk pengembangan aplikasi mobile di bali,jenis kelamin : laki-laki provinsi : bali kabupaten/kota : denpasar interest : bahasa inggris bahasa : inggris kriteria : berpengalaman mengajar bahasa inggris selama 4 tahun dengan fokus pada percakapan sehari-hari .,2.0
66,mencari tutor untuk belajar sejarah dunia di semarang,"jenis kelamin : perempuan provinsi : jawa tengah kabupaten/kota : semarang interest : pemrograman bahasa : indonesia kriteria : menguasai bahasa pemrograman java dan python , serta berpengalaman mengajar selama 2 tahun .",3.0
67,cari mentor untuk pengembangan soft skill di yogyakarta,jenis kelamin : laki-laki provinsi : daerah istimewa yogyakarta kabupaten/kota : yogyakarta interest : biologi bahasa : indonesia kriteria : mengajar biologi untuk sma dengan pengalaman 6 tahun dan sering mengadakan praktikum lapangan .,2.0
68,ingin belajar seni tari tradisional dengan tutor di medan,jenis kelamin : perempuan provinsi : sumatera utara kabupaten/kota : medan interest : ekonomi bahasa : indonesia kriteria : mengajar ekonomi untuk mahasiswa dengan pengalaman 5 tahun dan menggunakan studi kasus nyata .,3.0
69,mencari tutor untuk belajar astronomi di makassar,jenis kelamin : laki-laki provinsi : sulawesi selatan kabupaten/kota : makassar interest : geografi bahasa : indonesia kriteria : berpengalaman mengajar geografi selama 4 tahun dengan pendekatan visual dan peta interaktif .,3.0
70,saya membutuhkan mentor untuk belajar data science di jakarta dengan pendekatan praktis,jenis kelamin : laki-laki provinsi : dki jakarta kabupaten/kota : jakarta pusat interest : data science bahasa : indonesia kriteria : berpengalaman mengajar data science selama 5 tahun dengan fokus pada proyek praktis .,4.0
71,ingin belajar machine learning di bandung dengan mentor yang interaktif dan berpengalaman,"jenis kelamin : perempuan provinsi : jawa barat kabupaten/kota : bandung interest : machine learning bahasa : inggris kriteria : mengajar machine learning dengan metode interaktif , berpengalaman selama 6 tahun .",4.0
72,mencari tutor untuk belajar pemrograman web di surabaya yang dapat mengajar dengan studi kasus,"jenis kelamin : laki-laki provinsi : jawa timur kabupaten/kota : surabaya interest : web development bahasa : indonesia kriteria : mengajar pemrograman web dengan studi kasus , berpengalaman mengajar selama 4 tahun .",4.0
73,butuh mentor untuk belajar digital marketing di yogyakarta yang praktis dan langsung ke praktek,"jenis kelamin : perempuan provinsi : daerah istimewa yogyakarta kabupaten/kota : yogyakarta interest : digital marketing bahasa : indonesia kriteria : mengajar digital marketing dengan pendekatan praktis , pengalaman 5 tahun di industri .",4.0
74,mencari tutor untuk belajar data analysis di medan dengan metode visual dan interaktif,"jenis kelamin : laki-laki provinsi : sumatera utara kabupaten/kota : medan interest : data analysis bahasa : inggris kriteria : mengajar data analysis dengan metode visual , pengalaman 7 tahun di berbagai proyek .",4.0
75,saya ingin belajar seo dengan tutor yang berpengalaman di semarang,"jenis kelamin : perempuan provinsi : jawa tengah kabupaten/kota : semarang interest : fisika bahasa : indonesia kriteria : mengajar fisika untuk sma dengan pengalaman 3 tahun , menggunakan metode praktis .",4.0
76,mencari tutor untuk belajar public speaking di makassar yang ramah dan berpengalaman,"jenis kelamin : laki-laki provinsi : sulawesi selatan kabupaten/kota : makassar interest : kimia bahasa : indonesia kriteria : berpengalaman mengajar kimia selama 5 tahun , fokus pada praktikum laboratorium .",3.0
77,ingin belajar seni digital dengan tutor di denpasar yang kreatif dan inspiratif,"jenis kelamin : perempuan provinsi : bali kabupaten/kota : denpasar interest : matematika bahasa : indonesia kriteria : mengajar matematika untuk smp dengan metode kreatif , berpengalaman 4 tahun .",4.0
78,butuh mentor untuk belajar cloud computing di balikpapan dengan pendekatan proyek,"jenis kelamin : laki-laki provinsi : kalimantan timur kabupaten/kota : balikpapan interest : bahasa inggris bahasa : inggris kriteria : mengajar bahasa inggris untuk dewasa , berpengalaman 6 tahun , menggunakan metode percakapan .",4.0
79,saya ingin belajar fotografi di palembang dengan tutor yang praktis dan ramah,"jenis kelamin : perempuan provinsi : sumatera selatan kabupaten/kota : palembang interest : pemrograman bahasa : indonesia kriteria : mengajar pemrograman python dan java , berpengalaman 3 tahun , fokus pada praktik langsung .",3.0
80,mencari tutor untuk belajar ekonomi di banjarmasin yang bisa mengajar dengan kasus nyata,"jenis kelamin : laki-laki provinsi : kalimantan selatan kabupaten/kota : banjarmasin interest : biologi bahasa : indonesia kriteria : mengajar biologi dengan pengalaman 4 tahun , menggunakan alat peraga dan praktikum .",3.0
81,ingin belajar graphic design dengan tutor yang berpengalaman di malang,"jenis kelamin : perempuan provinsi : jawa timur kabupaten/kota : malang interest : ekonomi bahasa : indonesia kriteria : mengajar ekonomi untuk mahasiswa dengan pengalaman 5 tahun , fokus pada analisis data .",4.0
82,butuh mentor untuk belajar artificial intelligence di depok dengan pendekatan praktis,"jenis kelamin : laki-laki provinsi : jawa barat kabupaten/kota : depok interest : artificial intelligence bahasa : indonesia kriteria : berpengalaman mengajar ai selama 8 tahun , fokus pada proyek praktis dan real-world applications .",3.0
83,mencari tutor untuk belajar deep learning di bekasi yang bisa mengajar dengan studi kasus,"jenis kelamin : perempuan provinsi : jawa barat kabupaten/kota : bekasi interest : deep learning bahasa : inggris kriteria : mengajar deep learning dengan metode studi kasus , berpengalaman 5 tahun di industri .",4.0
84,saya ingin belajar computer vision di solo dengan tutor yang berpengalaman,"jenis kelamin : laki-laki provinsi : jawa tengah kabupaten/kota : surakarta interest : computer vision bahasa : indonesia kriteria : mengajar computer vision dengan pengalaman 6 tahun , menggunakan proyek praktis .",4.0
85,mencari tutor untuk belajar ux/ui design di tangerang yang kreatif dan inovatif,"jenis kelamin : perempuan provinsi : banten kabupaten/kota : tangerang interest : fisika bahasa : indonesia kriteria : mengajar fisika untuk sma dengan metode interaktif , berpengalaman 3 tahun .",4.0
86,butuh mentor untuk belajar cybersecurity di batam yang praktis dan berpengalaman,"jenis kelamin : laki-laki provinsi : kepulauan riau kabupaten/kota : batam interest : geografi bahasa : indonesia kriteria : mengajar geografi untuk sma , berpengalaman 4 tahun dengan pendekatan praktis dan visual .",3.0
87,ingin belajar blockchain di padang dengan tutor yang bisa mengajar secara praktis,"jenis kelamin : perempuan provinsi : sumatera barat kabupaten/kota : padang interest : matematika bahasa : indonesia kriteria : mengajar matematika dengan fokus pada konsep dan aplikasi , berpengalaman 5 tahun .",3.0
88,mencari tutor untuk belajar devops di pontianak dengan pendekatan praktis,"jenis kelamin : laki-laki provinsi : kalimantan barat kabupaten/kota : pontianak interest : devops bahasa : inggris kriteria : berpengalaman mengajar devops selama 5 tahun , fokus pada implementasi praktis .",4.0
89,saya ingin belajar nlp di manado dengan tutor yang berpengalaman di industri,"jenis kelamin : perempuan provinsi : sulawesi utara kabupaten/kota : manado interest : natural language processing bahasa : indonesia kriteria : mengajar nlp dengan pengalaman 6 tahun , berfokus pada aplikasi industri .",4.0
90,saya membutuhkan mentor untuk belajar data science di jakarta dengan pendekatan praktis,jenis kelamin : laki-laki provinsi : dki jakarta kabupaten/kota : jakarta pusat interest : data science bahasa : indonesia kriteria : berpengalaman mengajar data science selama 5 tahun dengan fokus pada proyek praktis .,4.0
91,ingin belajar machine learning di bandung dengan mentor yang interaktif dan berpengalaman,"jenis kelamin : perempuan provinsi : jawa barat kabupaten/kota : bandung interest : machine learning bahasa : inggris kriteria : mengajar machine learning dengan metode interaktif , berpengalaman selama 6 tahun .",4.0
92,mencari tutor untuk belajar pemrograman web di surabaya yang dapat mengajar dengan studi kasus,"jenis kelamin : laki-laki provinsi : jawa timur kabupaten/kota : surabaya interest : web development bahasa : indonesia kriteria : mengajar pemrograman web dengan studi kasus , berpengalaman mengajar selama 4 tahun .",4.0
93,butuh mentor untuk belajar digital marketing di yogyakarta yang praktis dan langsung ke praktek,"jenis kelamin : perempuan provinsi : daerah istimewa yogyakarta kabupaten/kota : yogyakarta interest : digital marketing bahasa : indonesia kriteria : mengajar digital marketing dengan pendekatan praktis , pengalaman 5 tahun di industri .",4.0
94,mencari tutor untuk belajar data analysis di medan dengan metode visual dan interaktif,"jenis kelamin : laki-laki provinsi : sumatera utara kabupaten/kota : medan interest : data analysis bahasa : inggris kriteria : mengajar data analysis dengan metode visual , pengalaman 7 tahun di berbagai proyek .",4.0
95,saya ingin belajar seo dengan tutor yang berpengalaman di semarang,"jenis kelamin : perempuan provinsi : jawa tengah kabupaten/kota : semarang interest : seo bahasa : indonesia kriteria : mengajar seo untuk bisnis online , berpengalaman 4 tahun , fokus pada strategi praktis .",4.0
96,mencari tutor untuk belajar public speaking di makassar yang ramah dan berpengalaman,"jenis kelamin : laki-laki provinsi : sulawesi selatan kabupaten/kota : makassar interest : public speaking bahasa : indonesia kriteria : berpengalaman mengajar public speaking selama 5 tahun , fokus pada teknik presentasi .",4.0
